Titulo,Año de estreno - Año finalización,Generos
The Orville,2017– ,"Adventure, Comedy, Drama"
CODA: Señales Del Corazón,2021,"Comedy, Drama, Music"
Los Goldberg,2013– ,Comedy
Bob's Burgers,2011– ,"Animation, Comedy"
Bones,2005–2017,"Comedy, Crime, Drama"
Modern Love: Mumbai,2022– ,"Comedy, Romance"
Bhool Bhulaiyaa 2,2022,"Comedy, Horror"
El Escuadrón Suicida,2021,"Action, Adventure, Comedy"
The Worst Person in the World,2021,"Comedy, Drama, Romance"
Bull,2016–2022,"Comedy, Crime, Drama"
Sex and the City,1998–2004,"Comedy, Drama, Romance"
Free Guy: Tomando El Control,2021,"Action, Adventure, Comedy"
Sonic. la película,2020,"Action, Adventure, Comedy"
Two and a Half Men,2003–2015,"Comedy, Romance"
Schitt's Creek,2015–2020,Comedy
La maravillosa Sra. Maisel,2017– ,"Comedy, Drama"
La Agencia,2022– ,Comedy
Parks and Recreation,2009–2015,Comedy
El lobo de Wall Street,2013,"Biography, Comedy, Crime"
Shoresy,2022– ,"Comedy, Sport"
Gilmore Girls,2000–2007,"Comedy, Drama"
Peacemaker,2022– ,"Action, Adventure, Comedy"
Incompatibles 2,2022,"Action, Comedy, Crime"
No miren arriba,2021,"Comedy, Drama, Sci-Fi"
New Girl,2011–2018,"Comedy, Romance"
Había una vez en Hollywood,2019,"Comedy, Drama"
Te amaré por siempre,2009,"Comedy, Drama, Fantasy"
Entre navajas y secretos,2019,"Comedy, Crime, Drama"
Orange Is the New Black,2013–2019,"Comedy, Crime, Drama"
South Park,1997– ,"Animation, Comedy"
Cobra Kai,2018– ,"Action, Comedy, Drama"
Charlie y la fábrica de chocolate,2005,"Adventure, Comedy, Family"
What We Do in the Shadows,2019– ,"Comedy, Fantasy, Horror"
Family Camp,2022,"Comedy, Family"
Fresh,2022,"Comedy, Horror, Thriller"
Glee,2009–2015,"Comedy, Drama, Music"
Los cazafantasmas,1984,"Action, Comedy, Fantasy"
Parásitos,2019,"Comedy, Drama, Thriller"
El show de Larry David,2000– ,Comedy
Ash contra el mal,2015–2018,"Action, Comedy, Fantasy"
Superstore,2015–2021,Comedy
Tierra de zombies,2009,"Action, Comedy, Horror"
Jackass 4.5,2022 Video,"Documentary, Action, Comedy"
Magic Mike XXL,2015,"Comedy, Drama, Music"
Metal Lords,2022,"Comedy, Music"
La familia perfecta,2021,Comedy
Happy Gilmore,1996,"Comedy, Sport"
Sacrificios de familia,2003–2019,Comedy
On the Count of Three,2021,"Comedy, Drama"
Minx,2022– ,Comedy
Ghosts,2021– ,"Comedy, Fantasy"
Scrubs,2001–2010,"Comedy, Drama"
Thor: Ragnarok,2017,"Action, Adventure, Comedy"
Frasier,1993–2004,Comedy
Rebeldes y confundidos,1993,Comedy
Terror bajo la tierra,1990,"Comedy, Horror"
En un lugar en Canadá,I) (2014,"Comedy, Horror"
Ni idea,1995,"Comedy, Romance"
Notas perfectas,2012,"Comedy, Music, Romance"
Piña express,2008,"Action, Comedy, Crime"
Sexo/Vida,2021– ,"Comedy, Drama, Romance"
BoJack Horseman,2014–2020,"Animation, Comedy, Drama"
Amphibia,2019–2022,"Animation, Action, Adventure"
La Vida Sexual de las Universitarias,2021– ,Comedy
Loco y estúpido amor,2011,"Comedy, Drama, Romance"
Ms. Marvel,2022– ,"Action, Adventure, Comedy"
La Crónica Francesa,2021,"Comedy, Drama, Romance"
The O.C.,2003–2007,"Comedy, Drama, Romance"
The Great,2020– ,"Biography, Comedy, Drama"
The Righteous Gemstones,2019– ,"Comedy, Drama"
Jackass Por Siempre,2022,"Documentary, Action, Comedy"
Vaselina,1978,"Comedy, Musical, Romance"
Malcolm el de en medio,2000–2006,"Comedy, Family"
Psych,2006–2014,"Comedy, Crime, Mystery"
Upload,2020– ,"Comedy, Mystery, Sci-Fi"
La burbuja,2022,Comedy
El satánico Dr. Phibe,1971,"Comedy, Horror"
The Good Place,2016–2020,"Comedy, Drama, Fantasy"
Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
The Conners,2018– ,Comedy
The Baby,2022,"Comedy, Horror, Mystery"
Tu primera vez,1999,Comedy
Festival de la Canción de Eurovisión: La historia de Fire Saga,2020,"Comedy, Musical"
Ella es así,1999,"Comedy, Romance"
Letterkenny,2016– ,Comedy
Deadpool,2016,"Action, Adventure, Comedy"
Saturday Night Live,1975– ,"Comedy, Music"
The Owl House,2020– ,"Animation, Action, Adventure"
¿Cómo sobrevivir a mi ex?,2008,"Comedy, Drama, Romance"
Los goonies,1985,"Adventure, Comedy, Family"
Father of the Bride,2022,"Comedy, Drama, Fantasy"
Inside No. 9,2014– ,"Comedy, Crime, Drama"
Deadpool 2,2018,"Action, Adventure, Comedy"
The White Lotus,2021–2022,"Comedy, Drama"
Bob's Burgers: La Película,2022,"Animation, Adventure, Comedy"
Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
That '90s Show,,"Comedy, Drama, Romance"
Monk,2002–2009,"Comedy, Crime, Drama"
Ligas mayores,1989,"Comedy, Sport"
El club de los cinco,1985,"Comedy, Drama"
Guerrero de las sombras,1992,"Comedy, Horror"
M.A.S.H.,1972–1983,"Comedy, Drama, War"
This Is Spinal Tap,1984,"Comedy, Music"
Un equipo muy especial,1992,"Comedy, Drama, Sport"
The Neighborhood,I) (2018– ,Comedy
Volver al futuro,1985,"Adventure, Comedy, Sci-Fi"
Esposas desesperadas,2004–2012,"Comedy, Drama, Mystery"
Cheers,1982–1993,"Comedy, Drama"
Resident Alien,2021– ,"Comedy, Drama, Mystery"
Un pequeño favor,2018,"Comedy, Crime, Mystery"
That '70s Show,1998–2006,"Comedy, Drama, Romance"
The Andy Griffith Show,1960–1968,"Comedy, Family"
Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
Jojo Rabbit,2019,"Comedy, Drama, War"
Emma.,2020,"Comedy, Drama, Romance"
Disenchanted,2022,"Animation, Adventure, Comedy"
Un cadáver para sobrevivir,2016,"Comedy, Drama, Fantasy"
Agente Fortune: El Gran Engaño,2022,"Action, Comedy, Thriller"
Cha Cha Real Smooth,2022,"Comedy, Drama"
Red Notice,2021,"Action, Comedy, Thriller"
Crush,2022,"Comedy, Romance"
After Life: Más allá de mi mujer,2019–2022,"Comedy, Drama"
Chicas pesadas,2004,Comedy
Hocus Pocus 2,2022,"Comedy, Family, Fantasy"
The Golden Girls,1985–1992,"Comedy, Drama"
Life & Beth,2022– ,"Comedy, Drama"
Matrimonio con hijos,1987–1997,Comedy
I Love That for You,2022– ,Comedy
Picardías estudiantiles,1982,"Comedy, Drama"
Wonka,2023,"Adventure, Comedy, Family"
Jumanji: El siguiente nivel,2019,"Action, Adventure, Comedy"
El despertar del diablo 2,1987,"Comedy, Horror"
Mr. Mayor,2021–2022,Comedy
Idiocracy,2006,"Adventure, Comedy, Sci-Fi"
Baywatch guardianes de la bahía,2017,"Action, Comedy, Crime"
Sen Çal Kapimi,2020–2021,"Comedy, Romance"
Beast,II) (2022,"Action, Comedy, Crime"
"Beetlejuice, el súper fantasma",1988,"Comedy, Fantasy"
Chicas buenas,2018–2021,"Comedy, Crime, Drama"
Young Rock,2021– ,Comedy
Archer,2009– ,"Animation, Action, Comedy"
Cásate Conmigo,2022,"Comedy, Music, Romance"
Entourage,2004–2011,"Comedy, Drama"
iCarly,2021– ,"Comedy, Drama, Romance"
The Truman Show: Historia de una vida,1998,"Comedy, Drama"
No me olvides,2002,"Comedy, Romance"
Enredos de oficina,1999,Comedy
Futurama,1999–2023,"Animation, Adventure, Comedy"
¿Qué pasó ayer?,2009,Comedy
Agatha Raisin,2014– ,"Comedy, Crime, Drama"
Sombras tenebrosas,2012,"Comedy, Fantasy, Horror"
Love Life,2020– ,"Comedy, Romance"
Welcome to Flatch,2022– ,Comedy
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
Pelotas en juego,2004,"Comedy, Sport"
La propuesta,I) (2009,"Comedy, Drama, Romance"
El Día Después,2022– ,"Comedy, Crime, Mystery"
10 cosas que odio de ti,1999,"Comedy, Drama, Romance"
Bob Esponja,1999– ,"Animation, Comedy, Family"
"Love, Victor",2020–2022,"Comedy, Drama, Romance"
Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
Sluha narodu,2015–2019,Comedy
¿Quién *&$%! son los Miller?,2013,"Comedy, Crime"
Naruto,2002–2007,"Animation, Action, Adventure"
Cars,2006,"Animation, Adventure, Comedy"
Tres por Tres,1987–1995,"Comedy, Drama, Family"
Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
Mujer bonita,1990,"Comedy, Romance"
Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
Luck,I) (2022,"Animation, Adventure, Comedy"
Abbott Elementary,2021– ,Comedy
Mom,2013–2021,"Comedy, Drama, Romance"
Realmente amor,2003,"Comedy, Drama, Romance"
30 Rock,2006–2013,Comedy
"Up, una aventura de altura",2009,"Animation, Adventure, Comedy"
Locamente millonarios,2018,"Comedy, Drama, Romance"
Damas en Guerra,I) (2011,"Comedy, Romance"
Identidad peligrosa,1998,"Comedy, Crime"
Cruella,2021,"Adventure, Comedy, Crime"
My Fake Boyfriend,2022,"Comedy, Romance"
Girls5eva,2021– ,"Comedy, Music"
"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
Casi famosos,2000,"Adventure, Comedy, Drama"
Doom Patrol,2019– ,"Action, Adventure, Comedy"
Seis pies bajo tierra,2001–2005,"Comedy, Drama"
Ghosts,2019– ,"Comedy, Fantasy"
American Graffiti: locura de verano,1973,"Comedy, Drama"
Terror En El Estudio 666,2022,"Comedy, Horror, Music"
La gran apuesta,2015,"Biography, Comedy, Drama"
Fleabag,2016–2019,"Comedy, Drama"
Moana: Un mar de aventuras,I) (2016,"Animation, Adventure, Comedy"
Love and Monsters,I) (2020,"Action, Adventure, Comedy"
Everybody Loves Raymond,1996–2005,Comedy
American Dad!,2005– ,"Animation, Comedy"
Jungle Cruise,2021,"Action, Adventure, Comedy"
"Najmro: Kocha, kradnie, szanuje",2021,"Action, Comedy, Crime"
Good Omens,2019–2022,"Comedy, Fantasy"
The Outlaws,2021– ,"Comedy, Crime, Drama"
White Collar,2009–2014,"Comedy, Crime, Drama"
Tienes un e-mail,1998,"Comedy, Drama, Romance"
Jane the virgin,2014–2019,Comedy
¿Y dónde está el piloto?,1980,Comedy
Spontaneous,II) (2020,"Comedy, Drama, Horror"
Home Economics,2021– ,Comedy
Marmaduke,2022,"Animation, Adventure, Comedy"
Ugly Betty,2006–2010,"Comedy, Drama, Romance"
Hunter x Hunter,2011–2014,"Animation, Action, Adventure"
"¿Dónde estás, hermano?",2000,"Adventure, Comedy, Crime"
Cuestión de tiempo,I) (2013,"Comedy, Drama, Fantasy"
How We Roll,2022,Comedy
Better Things,2016–2022,"Comedy, Drama"
Silicon Valley,2014–2019,Comedy
Beach Blanket Bingo,1965,"Comedy, Musical, Romance"
Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
Last Man Standing,2011–2021,Comedy
Cuando Harry encontró a Sally...,1989,"Comedy, Drama, Romance"
Entrevista con unos vampiros,2014,"Comedy, Horror"
Emily en París,2020– ,"Comedy, Drama, Romance"
Zootopía,2016,"Animation, Adventure, Comedy"
Aprendiendo a vivir,1993–2000,"Comedy, Drama, Family"
Ratatouille,2007,"Animation, Adventure, Comedy"
Hairspray,2007,"Comedy, Drama, Musical"
El gran hotel Budapest,2014,"Adventure, Comedy, Crime"
El graduado,1967,"Comedy, Drama, Romance"
La niñera,1993–1999,"Comedy, Family, Romance"
Minions: Nace un villano,2022,"Animation, Adventure, Comedy"
Girls,2012–2017,"Comedy, Drama"
Physical,2021– ,"Comedy, Drama"
El crucero del amor,1977–1987,"Comedy, Drama, Romance"
Chuck,2007–2012,"Action, Comedy, Drama"
Llora nena,1990,"Comedy, Musical"
Roar,2022– ,"Comedy, Drama"
Nuestra pandilla,1993,"Comedy, Drama, Family"
Mamma mia!,2008,"Comedy, Musical, Romance"
Ángeles de Charlie,2019,"Action, Adventure, Comedy"
Los reyes de la colina,1997–2010,"Animation, Comedy, Drama"
Hora de Aventura,2010–2018,"Animation, Action, Adventure"
Scooby-Doo,2002,"Adventure, Comedy, Family"
Veep,2012–2019,Comedy
La chica de al lado,2004,"Comedy, Drama, Romance"
DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
Dos tipos peligrosos,2016,"Action, Comedy, Crime"
Big Mouth,2017– ,"Animation, Comedy, Romance"
The IT Crowd,2006–2013,Comedy
Yo nunca,2020–2023,"Comedy, Drama"
Competencia Oficial,2021,"Comedy, Drama"
Emergency!,1972–1979,"Action, Adventure, Comedy"
La sociedad de los poetas muertos,1989,"Comedy, Drama"
Legalmente rubia,2001,"Comedy, Romance"
Snatch: Cerdos y diamantes,2000,"Comedy, Crime"
Shrek,2001,"Animation, Adventure, Comedy"
The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
Muertos para mi,2019–2022,"Comedy, Crime, Drama"
The Hating Game,2021,"Comedy, Romance"
Road Trip Romance,2022,"Comedy, Drama, Family"
Son como niños,I) (2010,Comedy
Jumanji: En la selva,2017,"Action, Adventure, Comedy"
Un experto en diversiones,1986,Comedy
Locura en el oeste,1974,"Comedy, Western"
Night Court,1984–1992,Comedy
Mythic Quest: Raven's Banquet,2020– ,Comedy
Billy Madison,1995,Comedy
JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
La mujer de la casa de enfrente de la chica en la ventana,2022,"Comedy, Crime, Drama"
2 Broke Girls,2011–2017,Comedy
Bienvenido a los 40,2012,"Comedy, Drama, Romance"
Súper cool,2007,Comedy
La La Land: una historia de amor,2016,"Comedy, Drama, Music"
Boda sangrienta,I) (2019,"Action, Comedy, Horror"
The King of Staten Island,2020,"Comedy, Drama"
Emergency,2022,"Comedy, Drama, Thriller"
8 Simple Rules... for Dating My Teenage Daughter,2002–2005,"Comedy, Drama"
Destinos Opuestos,1991,"Comedy, Romance"
Scott Pilgrim vs. los ex de la chica de sus sueños,2010,"Action, Comedy, Fantasy"
Una película de miedo,2000,Comedy
Walk Hard: The Dewey Cox Story,2007,"Comedy, Music"
Sex Appeal,2022,"Comedy, Drama, Romance"
Coupez !,2022,"Comedy, Horror"
The King of Queens,1998–2007,Comedy
Frozen: Una aventura congelada,I) (2013,"Animation, Adventure, Comedy"
Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
Pequeña Miss Sunshine,2006,"Comedy, Drama"
Red Rocket,2021,"Comedy, Drama"
United States of Al,2021–2022,Comedy
Green Book: Una amistad sin fronteras,2018,"Biography, Comedy, Drama"
Heartbeat,1992–2010,"Drama, Comedy, Crime"
Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
Californication,2007–2014,"Comedy, Drama"
Doc Martin,2004–2022,"Comedy, Drama, Romance"
Una guerra de película,2008,"Action, Comedy, War"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Los muchachos perdidos,1987,"Comedy, Horror"
Matilda,1996,"Comedy, Family, Fantasy"
Don,2022,"Action, Comedy, Romance"
Vicky Cristina Barcelona,2008,"Comedy, Drama, Romance"
Son como niños 2,2013,Comedy
Amor sin escalas,I) (2009,"Comedy, Drama, Romance"
Luca,2021,"Animation, Adventure, Comedy"
Tomorrow,2022– ,"Action, Comedy, Drama"
Toy Story,1995,"Animation, Adventure, Comedy"
Duro De Cuidar 2,2021,"Action, Comedy, Crime"
Hechizada,1964–1972,"Comedy, Family, Fantasy"
A la mierda el amor... otra vez,2022,"Comedy, Romance"
I Want You Back,2022,"Comedy, Romance"
Weeds,2005–2012,"Comedy, Crime, Drama"
Summer Rental,1985,Comedy
El ejército de los ladrones,2021,"Action, Comedy, Crime"
El duque,2020,"Biography, Comedy, Drama"
Sing: ¡Ven y canta!,2016,"Animation, Comedy, Family"
Black Clover,2017–2021,"Animation, Action, Adventure"
La mejor de mis bodas,1998,"Comedy, Music, Romance"
Bill & Ted salvando el universo,2020,"Adventure, Comedy, Music"
Aladdin,2019,"Adventure, Comedy, Family"
¡Shazam!,2019,"Action, Adventure, Comedy"
Raya y el último dragón,2021,"Animation, Action, Adventure"
La vida es bella,1997,"Comedy, Drama, Romance"
Shakespeare & Hathaway: Private Investigators,2018– ,"Comedy, Crime, Drama"
New Tricks,2003–2015,"Comedy, Crime, Drama"
Más notas perfectas,2015,"Comedy, Music"
Encantada,2007,"Animation, Adventure, Comedy"
Around the World in 80 Days,2021– ,"Adventure, Comedy"
Amigos intocables,2011,"Biography, Comedy, Drama"
Una esposa de mentira,2011,"Comedy, Romance"
Tully,2018,"Comedy, Drama, Mystery"
Mentiras verdaderas,1994,"Action, Comedy, Thriller"
Good Trouble,2019– ,"Comedy, Drama, Romance"
Papá por siempre,1993,"Comedy, Drama"
Milagro por un día,1961,"Comedy, Drama"
Dollface,2019–2022,Comedy
The End of the F***ing World,2017–2019,"Adventure, Comedy, Crime"
The Archies,2023,"Comedy, Drama, Musical"
The Other One,2017– ,Comedy
Lady Bird,2017,"Comedy, Drama"
El pelotón chiflado,1981,"Comedy, War"
Diabólica tentación,2009,"Comedy, Horror"
Medianoche en París,2011,"Comedy, Fantasy, Romance"
Jóvenes y rebeldes,1999–2000,"Comedy, Drama"
Una Ronda Más,2020,"Comedy, Drama"
S.O.S. Hay un loco suelto en el espacio,1987,"Adventure, Comedy, Sci-Fi"
Ocean's 8: las estafadoras,2018,"Action, Comedy, Crime"
Why Women Kill,2019– ,"Comedy, Crime, Drama"
Batman,1966–1968,"Action, Adventure, Comedy"
Harley Quinn,2019– ,"Animation, Action, Adventure"
Boston Legal,2004–2008,"Comedy, Crime, Drama"
En el corazón del sur,2011–2015,"Comedy, Drama, Romance"
L'iniziazione,1986,Comedy
Anything Goes,2021,"Comedy, Musical, Romance"
Intensa Mente,I) (2015,"Animation, Adventure, Comedy"
Belleza invaluable,2006,"Comedy, Drama, Romance"
El diablo viste a la moda,2006,"Comedy, Drama"
Un detective en el kinder,1990,"Action, Comedy, Crime"
Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
De amor y otras adicciones,2010,"Comedy, Drama, Romance"
Comando especial,2012,"Action, Comedy, Crime"
No hagan olas,1967,Comedy
Coco,I) (2017,"Animation, Adventure, Comedy"
The Other Guys,2010,"Action, Comedy, Crime"
Spreadsheet,2021– ,Comedy
Crossing Delancey,1988,"Comedy, Romance"
Estafadoras de Wall Street,2019,"Comedy, Crime, Drama"
Buscando a Nemo,2003,"Animation, Adventure, Comedy"
No es otra tonta película americana,2001,Comedy
The Middle,2009–2018,"Comedy, Family"
Fuerza Espacial,2020–2022,Comedy
La langosta,2015,"Comedy, Drama, Romance"
Mi nombre es Earl,2005–2009,Comedy
Bodies Bodies Bodies,2022,"Comedy, Horror, Thriller"
The Wonder Years,2021– ,"Comedy, Drama, Family"
Loca academia de policía,1984,Comedy
Virgen a los 40,2005,"Comedy, Romance"
La era del rock,2012,"Comedy, Drama, Musical"
Knight and Day,2010,"Action, Adventure, Comedy"
En Brujas,2008,"Comedy, Crime, Drama"
¿Quién engañó a Roger Rabbit?,1988,"Animation, Adventure, Comedy"
Viaje censurado,2000,Comedy
Killing It,2022– ,Comedy
Leave It to Beaver,1957–1963,"Comedy, Family"
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama"
Hook,1991,"Adventure, Comedy, Family"
The Hitman's Bodyguard,2017,"Action, Comedy, Crime"
Men in Black: International,2019,"Action, Adventure, Comedy"
Rumble,2021,"Animation, Comedy, Family"
Taskmaster,2015– ,"Comedy, Game-Show"
Pleasantville,1998,"Comedy, Drama, Fantasy"
Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy"
Secretary,2002,"Comedy, Drama, Romance"
Call Me Kat,2021– ,Comedy
Le fabuleux destin d'Amélie Poulain,2001,"Comedy, Romance"
Isn't It Romantic,2019,"Comedy, Fantasy, Musical"
Human Resources,2022– ,"Animation, Comedy, Romance"
Ginny & Georgia,2021– ,"Comedy, Drama"
Cowboy Bebop,2021,"Action, Adventure, Comedy"
Empire Records,1995,"Comedy, Drama, Music"
Into the Woods,2014,"Adventure, Comedy, Drama"
My Cousin Vinny,1992,"Comedy, Crime"
The Princess Diaries,2001,"Comedy, Family, Romance"
Napoleon Dynamite,2004,Comedy
The Mask,1994,"Action, Comedy, Crime"
Mortdecai,2015,"Action, Adventure, Comedy"
How to Train Your Dragon,2010,"Animation, Action, Adventure"
Gibi,2021– ,Comedy
Pitch Perfect 3,2017,"Comedy, Music"
Tangled,2010,"Animation, Adventure, Comedy"
Jerry Maguire,1996,"Comedy, Drama, Romance"
Modern Love,2019– ,"Comedy, Romance"
The Ranch,2016–2020,"Comedy, Drama, Western"
The Favourite,2018,"Biography, Comedy, Drama"
Magic Mike,2012,"Comedy, Drama"
Austin Powers: International Man of Mystery,1997,"Adventure, Comedy"
Sister Boniface Mysteries,2022– ,"Comedy, Crime, Drama"
Trailer Park Boys,2001–2018,"Comedy, Crime"
The Change-Up,2011,"Comedy, Fantasy"
A través de mi ventana,2022,"Comedy, Drama, Romance"
Hotel Transylvania: Transformania,2022,"Animation, Adventure, Comedy"
Breeders,2020– ,"Comedy, Drama"
Hercules,1997,"Animation, Adventure, Comedy"
Dick Tracy,1990,"Action, Comedy, Crime"
Shining Vale,2022– ,"Comedy, Fantasy, Horror"
Così fan tutte,1992,"Comedy, Drama"
Coyote Ugly,2000,"Comedy, Drama, Music"
Roseanne,1988–2018,"Comedy, Drama"
Victorious,2010–2013,"Comedy, Drama, Family"
The Professor,I) (2018,"Comedy, Drama"
Pain & Gain,2013,"Action, Comedy, Crime"
Boruto: Naruto Next Generations,2017– ,"Animation, Action, Adventure"
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,"Action, Adventure, Comedy"
The Office,2001–2003,"Comedy, Drama"
Doctor Strange en el multiverso de la locura,2022,"Action, Adventure, Fantasy"
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy"
She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
Stranger Things,2016– ,"Drama, Fantasy, Horror"
Halo,2022– ,"Action, Adventure, Sci-Fi"
Morbius,2022,"Action, Adventure, Horror"
Prey,I) (2022,"Action, Drama, Horror"
Llamas De Venganza,2022,"Drama, Horror, Sci-Fi"
"Love, Death & Robots",2019– ,"Animation, Short, Action"
Avatar: The Way of Water,2022,"Action, Adventure, Sci-Fi"
Star Trek: Strange New Worlds,2022– ,"Action, Adventure, Sci-Fi"
The Boys,2019– ,"Action, Crime, Drama"
La Mujer Del Viajero En El Tiempo,2022– ,"Drama, Fantasy, Romance"
Severance,2022– ,"Drama, Mystery, Sci-Fi"
Men,2022,"Drama, Horror, Sci-Fi"
Obi-Wan Kenobi,2022,"Action, Adventure, Sci-Fi"
Doctor Strange: hechicero supremo,2016,"Action, Adventure, Fantasy"
Night Sky,2022– ,"Adventure, Drama, Fantasy"
Spider-Man: sin camino a casa,2021,"Action, Adventure, Fantasy"
Ghostbusters: El Legado,2021,"Adventure, Comedy, Fantasy"
Thor: amor y trueno,2022,"Action, Adventure, Fantasy"
Aquaman,2018,"Action, Adventure, Fantasy"
Luminosas,2022– ,"Crime, Drama, Mystery"
Doctor Who,2005– ,"Adventure, Drama, Sci-Fi"
Sonic 2: La Película,2022,"Action, Adventure, Comedy"
Black Mirror,2011–2019,"Drama, Mystery, Sci-Fi"
Bienvenidos a Edén,2022– ,"Action, Drama, Sci-Fi"
The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
Westworld,2016– ,"Drama, Mystery, Sci-Fi"
Jurassic World Dominio,2022,"Action, Adventure, Sci-Fi"
Avatar,2009,"Action, Adventure, Fantasy"
Duna,2021,"Action, Adventure, Drama"
Star Trek: Picard,2020– ,"Action, Adventure, Drama"
Matrix resurrecciones,2021,"Action, Sci-Fi"
Flash,2014– ,"Action, Adventure, Drama"
WandaVision,2021,"Action, Comedy, Drama"
